statsec;deelgemeente;gemeente;statsec_naam;gemeente_naam;provincie;statsec_naam_lang;deelgemeente_naam
11001A00-;11001A;11001;Aartselaar-Centrum;Aartselaar;10000;Aartselaar-Centrum (11001A00-);Aartselaar
11001A01-;11001A;11001;De Leeuwerik;Aartselaar;10000;De Leeuwerik (11001A01-);Aartselaar
11001A020;11001A;11001;Buerstede;Aartselaar;10000;Buerstede (11001A020);Aartselaar
11001A030;11001A;11001;Ysselaar;Aartselaar;10000;Ysselaar (11001A030);Aartselaar
11001A042;11001A;11001;Kleine Grippe;Aartselaar;10000;Kleine Grippe (11001A042);Aartselaar
11001A052;11001A;11001;Leug;Aartselaar;10000;Leug (11001A052);Aartselaar
11001A063;11001A;11001;Ten Dorpe;Aartselaar;10000;Ten Dorpe (11001A063);Aartselaar
11001A074;11001A;11001;Bruinen Baard;Aartselaar;10000;Bruinen Baard (11001A074);Aartselaar
11001A091;11001A;11001;Kleistraat - Oever;Aartselaar;10000;Kleistraat - Oever (11001A091);Aartselaar
11001A0MA;11001A;11001;Cleydael-Kasteel;Aartselaar;10000;Cleydael-Kasteel (11001A0MA);Aartselaar
11001A0PA;11001A;11001;Zinkval;Aartselaar;10000;Zinkval (11001A0PA);Aartselaar
11001A10-;11001A;11001;'t Heiken;Aartselaar;10000;'t Heiken (11001A10-);Aartselaar
11001A173;11001A;11001;Notelaan;Aartselaar;10000;Notelaan (11001A173);Aartselaar
11001A190;11001A;11001;De Reukens;Aartselaar;10000;De Reukens (11001A190);Aartselaar
11001A20-;11001A;11001;De Koekoek;Aartselaar;10000;De Koekoek (11001A20-);Aartselaar
11001A21-;11001A;11001;Vierpalen;Aartselaar;10000;Vierpalen (11001A21-);Aartselaar
11001ZZZZ;11001ONBE;11001;Aartselaar - niet te lokaliseren;Aartselaar;10000;Aartselaar - niet te lokaliseren (11001ZZZZ);Aartselaar - niet te lokaliseren
1100212MQ;11002-Y;11002;Stabroek;Antwerpen;10000;Stabroek (1100212MQ);Berendrecht-Zandvliet-Lillo
11002A00-;11002-Z;11002;Antwerpen Kern - Oude Stad (Spaanse Wallen );Antwerpen;10000;Antwerpen Kern - Oude Stad (Spaanse Wallen ) (11002A00-);Antwerpen
11002A01-;11002-Z;11002;Klapdorp - Brouwersvliet;Antwerpen;10000;Klapdorp - Brouwersvliet (11002A01-);Antwerpen
11002A02-;11002-Z;11002;Groenplaats (Spaanse Wallen);Antwerpen;10000;Groenplaats (Spaanse Wallen) (11002A02-);Antwerpen
11002A03-;11002-Z;11002;Hoogstraat (Spaanse Wallen);Antwerpen;10000;Hoogstraat (Spaanse Wallen) (11002A03-);Antwerpen
11002A04-;11002-Z;11002;Oudaan (Spaanse Wallen);Antwerpen;10000;Oudaan (Spaanse Wallen) (11002A04-);Antwerpen
11002A05-;11002-Z;11002;Gevangenis (Spaanse Wallen);Antwerpen;10000;Gevangenis (Spaanse Wallen) (11002A05-);Antwerpen
